u  v  w
2963987590  1957078034  692.178
2963989930  2961417258  790.094
2963989930  2963987590  585.708
2963990717  2963990731  640.759
2963990717  1680581318  311.404
2963990724  1680581639  7.922
2963990724  2963990717  591.444
2963990729  1428690146  325.95
2963990731  2961398628  637.813
2963991272  2961333412  242.728
2963991275  2963976746  542.892
2963991301  2963989930  954.413
2963991641  2963989930  509.112
2963992080  9403957113  188.484
2963992085  9403957192  957.782
2963992091  2963992094  179.574
2963992091  2961399154  70.121
2963992094  2963992095  1050.732
2963992095  1957078157  12.357
2963992096  2963992094  117.879
2963992096  1680581259  922.193
2963995633  2963995636  338.336
2963995636  2963990717  11.282
2963995636  1680581639  585.959
2964045059  7955569202  779.873
2964045066  7955555433  337.298
2964045066  2964045097  467.106
2964050810  1680581253  726.417
2964050811  1428682605  131.625
2964050811  2964052239  158.151
2964050822  1428682603  75.441
2964050822  2964050829  119.328
2964050824  6196101489  452.085
2964050829  1428682588  599.264
2964052237  1428682606  50.204
2964052237  2964050810  85.106
2964052238  1428682604  66.878
2964052238  2964050824  97.229
2964052239  1428690115  139.415
2964056221  6196101113  170.682
2964056221  9237645216  238.481
2964056223  2964889789  18.723
2964056223  9237645082  581.307
2964056229  6196101152  77.633
2964056229  2964056230  18.4
2964056230  2964056433  22.661
2964056230  7954791355  114.13
2964056232  2964056229  21.823
2964056232  6196101146  48.544
2964056433  7954791363  89.864
2964056433  2964056232  18.842
2964059052  7054220249  343.778
2964059060  2964059052  130.078
2964059060  2964059062  257.108
2964059062  2964056223  128.725
2964059064  6196101112  1205.715
2964059064  2964059052  302.155
2964668578  6196101112  391.885
2964668579  2964668588  159.207
2964668588  2964668590  20.507
2964668588  9237645084  1162.531
2964668589  2964668590  17.293
2964668589  2964668604  406.136
2964668590  2456474074  15.912
2964668590  2456474074  322.021
2964668592  2964668609  573.637
2964668592  2964668578  362.328
2964668604  2964668592  152.485
2964668604  2964668607  281.247
2964721233  2964721234  145.837
2964721233  2963365947  196.465
2964721234  2964721240  272.029
2964721260  6196101182  926.632
2964721260  8342010430  463.128
2964889745  4823383396  245.888
2964889745  2964889748  21.342
2964889746  2964889757  105.445
2964889746  1415634432  92.828
2964889748  2456473955  309.126
2964889748  4823384070  129.196
2964889757  2964889745  237.18
2964889758  6436910416  43.365
2964889758  6436910411  63.591
2964889759  2426556903  564.634
2964889762  4853736591  83.764
2964889762  4853737170  149.95
2964889768  2963365559  318.507
2964889785  2964889786  19.174
2964889785  2456474010  1188.689
2964889786  4823384074  376.91
2964889786  2964889788  45.55
2964889789  2456474052  16.788
2964890873  5233552580  1696.853
2964891072  2964891113  123.861
2964891072  4305740659  63.789
2964891113  8602139784  339.769
2964891120  2964890873  1014.634
2964891129  2964891120  160.126
2964891129  5233552775  142.42
2964891131  2964891356  350.931
2964891131  2964891364  495.202
2964891338  2964891120  130.635
2964891338  5233552769  563.515
2964891347  8602139574  255.309
2964891356  2964891382  401.769
2964891356  5237289059  88.453
2964891358  5233552770  357.666
2964891364  2964891358  16.982
2964891364  5237289073  37.323
2964891382  2964891426  118.029
2964891382  5237289001  286.244
2964891385  5233481541  62.728
2964891404  2964891385  519.697
2964891410  5237332552  220.98
2964891410  5237332567  126.567
2964891411  2964891410  191.252
2964891411  5237332566  123.132
2964891417  2964891423  25.546
2964891423  2964891535  228.386
2964891426  5237289002  61.703
2964891426  1680627517  687.183
2964891427  5237310824  215.635
2964891427  2964891411  267.082
2964891534  2964891427  137.15
2964891535  5237294226  196.107
2964891535  5237294279  159.812
2964891548  5237294259  153.322
2964891557  5237294296  94.553
2964891565  5237310821  651.987
2964891599  5237291127  220.902
2964891599  2964891616  233.727
2964891616  5237290608  166.166
2964891616  2964891622  186.762
2964891622  5237289023  572.666
